Date,Hour,Solar Radiation
3/18/24,4:00:00 AM,0
3/18/24,5:00:00 AM,0
3/18/24,6:00:00 AM,0
3/18/24,7:00:00 AM,28
3/18/24,8:00:00 AM,134
3/18/24,9:00:00 AM,325
3/18/24,10:00:00 AM,442
3/18/24,11:00:00 AM,658
3/18/24,12:00:00 PM,744
3/18/24,1:00:00 PM,799
3/18/24,2:00:00 PM,681
3/18/24,3:00:00 PM,512
3/18/24,4:00:00 PM,354
3/18/24,5:00:00 PM,141
3/18/24,6:00:00 PM,50
3/18/24,7:00:00 PM,2
3/18/24,8:00:00 PM,0
3/18/24,9:00:00 PM,0
3/18/24,10:00:00 PM,0
3/18/24,11:00:00 PM,0
3/19/24,12:00:00 AM,0
3/19/24,1:00:00 AM,0
3/19/24,2:00:00 AM,0
3/19/24,3:00:00 AM,0
3/19/24,4:00:00 AM,0
3/19/24,5:00:00 AM,0
3/19/24,6:00:00 AM,0
3/19/24,7:00:00 AM,51
3/19/24,8:00:00 AM,177
3/19/24,9:00:00 AM,386
3/19/24,10:00:00 AM,624
3/19/24,11:00:00 AM,678
3/19/24,12:00:00 PM,684
3/19/24,1:00:00 PM,745
3/19/24,2:00:00 PM,612
3/19/24,3:00:00 PM,568
3/19/24,4:00:00 PM,375
3/19/24,5:00:00 PM,157
3/19/24,6:00:00 PM,31
3/19/24,7:00:00 PM,1
3/19/24,8:00:00 PM,0
3/19/24,9:00:00 PM,0
3/19/24,10:00:00 PM,0
3/19/24,11:00:00 PM,0
3/20/24,12:00:00 AM,0
3/20/24,1:00:00 AM,0
3/20/24,2:00:00 AM,0
3/20/24,3:00:00 AM,0
3/20/24,4:00:00 AM,0
3/20/24,5:00:00 AM,0
3/20/24,6:00:00 AM,0
3/20/24,7:00:00 AM,16
3/20/24,8:00:00 AM,67
3/20/24,9:00:00 AM,100
3/20/24,10:00:00 AM,296
3/20/24,11:00:00 AM,613
3/20/24,12:00:00 PM,775
3/20/24,1:00:00 PM,619
3/20/24,2:00:00 PM,156
3/20/24,3:00:00 PM,355
3/20/24,4:00:00 PM,246
3/20/24,5:00:00 PM,133
3/20/24,6:00:00 PM,79
3/20/24,7:00:00 PM,4
3/20/24,8:00:00 PM,0
3/20/24,9:00:00 PM,0
3/20/24,10:00:00 PM,0
3/20/24,11:00:00 PM,0
4/16/24,12:00:00 AM,0
4/16/24,1:00:00 AM,0
4/16/24,2:00:00 AM,0
4/16/24,3:00:00 AM,0
4/16/24,4:00:00 AM,0
4/16/24,5:00:00 AM,0
4/16/24,6:00:00 AM,25
4/16/24,7:00:00 AM,177
4/16/24,8:00:00 AM,379
4/16/24,9:00:00 AM,569
4/16/24,10:00:00 AM,722
4/16/24,11:00:00 AM,831
4/16/24,12:00:00 PM,902
4/16/24,1:00:00 PM,906
4/16/24,2:00:00 PM,847
4/16/24,3:00:00 PM,708
4/16/24,4:00:00 PM,560
4/16/24,5:00:00 PM,366
4/16/24,6:00:00 PM,163
4/16/24,7:00:00 PM,16
4/16/24,8:00:00 PM,0
4/16/24,9:00:00 PM,0
4/16/24,10:00:00 PM,0
4/16/24,11:00:00 PM,0
4/17/24,12:00:00 AM,0
4/17/24,1:00:00 AM,0
4/17/24,2:00:00 AM,0
4/17/24,3:00:00 AM,0
4/17/24,4:00:00 AM,0
4/17/24,5:00:00 AM,0
4/17/24,6:00:00 AM,19
4/17/24,7:00:00 AM,74
4/17/24,8:00:00 AM,273
4/17/24,9:00:00 AM,302
4/17/24,10:00:00 AM,228
4/17/24,11:00:00 AM,120
4/17/24,12:00:00 PM,62
4/17/24,1:00:00 PM,370
4/17/24,2:00:00 PM,509
4/17/24,3:00:00 PM,269
4/17/24,4:00:00 PM,158
4/17/24,5:00:00 PM,55
4/17/24,6:00:00 PM,37
4/17/24,7:00:00 PM,9
4/17/24,8:00:00 PM,0
4/17/24,9:00:00 PM,0
4/17/24,10:00:00 PM,0
4/17/24,11:00:00 PM,0
4/18/24,12:00:00 AM,0
4/18/24,1:00:00 AM,0
4/18/24,2:00:00 AM,0
